ct_pma_id,nct_id,pma_number,supplement_number
85922,NCT00339183,P110027,NULL
85923,NCT00364013,P110027,NULL
85924,NCT00844532,P110028,NULL
85925,NCT00079066,P110030,NULL
85926,NCT00522535,P110032,NULL
85927,NCT00978042,P110033,NULL
85928,NCT01197495,P110033,S020
85929,NCT01998581,P110033,S018
85930,NCT00896337,P110035,NULL
85931,NCT00435942,P110038,NULL
85932,NCT00656305,P110039,NULL
85933,NCT00814970,P110040,NULL
85934,NCT00399217,P110042,NULL
85935,NCT00853645,P110042,NULL
85936,NCT01064076,P110042,NULL
85937,NCT01085435,P110042,NULL
85938,NCT01117792,P110042,NULL
85939,NCT01161589,P110042,NULL
85940,NCT00844532,P110043,NULL
85941,NCT00833924,P120001,NULL
85942,NCT00739102,P120002,NULL
85943,NCT00593385,P120003,NULL
85944,NCT01514292,P120005,NULL
85945,NCT02087995,P120005,S018
85946,NCT02280577,P120005,S031
85947,NCT01092117,P120006,NULL
85948,NCT01384370,P120007,S003
85949,NCT01384370,P120007,NULL
85950,NCT01694875,P120007,S001
85951,NCT01694875,P120007,S003
85952,NCT00828334,P120009,NULL
85953,NCT01112696,P120010,NULL
85954,NCT01148862,P120010,NULL
85955,NCT01161043,P120010,NULL
85956,NCT01464346,P120010,NULL
85957,NCT01497938,P120010,S046
85958,NCT00858052,P120011,NULL
85959,NCT00351403,P120012,NULL
85960,NCT01153763,P120014,NULL
85961,NCT01227889,P120014,NULL
85962,NCT01245062,P120014,NULL
85963,NCT01266967,P120014,NULL
85964,NCT01207440,P120015,NULL
85965,NCT00933270,P120020,S011
85966,NCT00933270,P120020,NULL
85967,NCT00465270,P120021,NULL
85968,NCT00949650,P120022,NULL
85969,NCT01203917,P120022,S001
85970,NCT02147990,P120022,S011
85971,NCT00819299,P120023,NULL
85972,NCT00850031,P120023,NULL
85973,NCT01352442,P120023,NULL
85974,NCT00589797,P120024,NULL
85975,NCT00855348,P130001,NULL
85976,NCT01580540,P130001,NULL
85977,NCT00772317,P130002,NULL
85978,NCT00295802,P130003,NULL
85979,NCT01498224,P130004,NULL
